Code,Name,Date,Close
AU.SHF,SHFE Gold,2022/11/21,413
AU.SHF,SHFE Gold,2022/11/22,412
AU.SHF,SHFE Gold,2022/11/23,412
AU.SHF,SHFE Gold,2022/11/24,414
AU.SHF,SHFE Gold,2022/11/25,415
AU.SHF,SHFE Gold,2022/11/28,415
AU.SHF,SHFE Gold,2022/11/29,414
AU.SHF,SHFE Gold,2022/11/30,414
AU.SHF,SHFE Gold,2022/12/1,415
AU.SHF,SHFE Gold,2022/12/2,417
AU.SHF,SHFE Gold,2022/12/5,413
AU.SHF,SHFE Gold,2022/12/6,409
AU.SHF,SHFE Gold,2022/12/7,408
AU.SHF,SHFE Gold,2022/12/8,410
AU.SHF,SHFE Gold,2022/12/9,411
AU.SHF,SHFE Gold,2022/12/12,411
AU.SHF,SHFE Gold,2022/12/13,411
AU.SHF,SHFE Gold,2022/12/14,416
AU.SHF,SHFE Gold,2022/12/15,412
AU.SHF,SHFE Gold,2022/12/16,410
AU.SHF,SHFE Gold,2022/12/19,413
AU.SHF,SHFE Gold,2022/12/20,413
AU.SHF,SHFE Gold,2022/12/21,417
AU.SHF,SHFE Gold,2022/12/22,417
AU.SHF,SHFE Gold,2022/12/23,414
AU.SHF,SHFE Gold,2022/12/26,415
AU.SHF,SHFE Gold,2022/12/27,415
AU.SHF,SHFE Gold,2022/12/28,416
AU.SHF,SHFE Gold,2022/12/29,416
AU.SHF,SHFE Gold,2022/12/30,418
AU.SHF,SHFE Gold,2023/1/3,418
AU.SHF,SHFE Gold,2023/1/4,420
AU.SHF,SHFE Gold,2023/1/5,419
AU.SHF,SHFE Gold,2023/1/6,416
AU.SHF,SHFE Gold,2023/1/9,421
AU.SHF,SHFE Gold,2023/1/10,420
AU.SHF,SHFE Gold,2023/1/11,422
AU.SHF,SHFE Gold,2023/1/12,421
AU.SHF,SHFE Gold,2023/1/13,422
AU.SHF,SHFE Gold,2023/1/16,424
AU.SHF,SHFE Gold,2023/1/17,426
AU.SHF,SHFE Gold,2023/1/18,425
AU.SHF,SHFE Gold,2023/1/19,427
AU.SHF,SHFE Gold,2023/1/20,430
AU.SHF,SHFE Gold,2023/1/30,430
AU.SHF,SHFE Gold,2023/1/31,426
AU.SHF,SHFE Gold,2023/2/1,428
AU.SHF,SHFE Gold,2023/2/2,432
AU.SHF,SHFE Gold,2023/2/3,426
AU.SHF,SHFE Gold,2023/2/6,421
AU.SHF,SHFE Gold,2023/2/7,419
AU.SHF,SHFE Gold,2023/2/8,419
AU.SHF,SHFE Gold,2023/2/9,420
AU.SHF,SHFE Gold,2023/2/10,417
AU.SHF,SHFE Gold,2023/2/13,420
AU.SHF,SHFE Gold,2023/2/14,420
AU.SHF,SHFE Gold,2023/2/15,418
AU.SHF,SHFE Gold,2023/2/16,418
AU.SHF,SHFE Gold,2023/2/17,417
AU.SHF,SHFE Gold,2023/2/20,419
